k,train_years,test_year,n_train,n_test,adj_rand,pitcher
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2093,2851,0.0,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4944,2713,0.024,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7657,2574,0.351,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10231,1149,0.345,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11380,1727,0.348,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13107,1842,0.357,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14949,1972,0.364,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16921,432,0.326,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,17353,1656,0.329,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2093,2851,0.583,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4944,2713,0.334,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7657,2574,0.388,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10231,1149,0.385,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11380,1727,0.398,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13107,1842,0.397,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14949,1972,0.39,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16921,432,0.326,"Kershaw, Clayton"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,17353,1656,0.329,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2093,2851,0.649,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4944,2713,0.545,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7657,2574,0.349,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10231,1149,0.573,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11380,1727,0.475,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13107,1842,0.645,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14949,1972,0.381,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16921,432,0.313,"Kershaw, Clayton"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,17353,1656,0.323,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2093,2851,0.693,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4944,2713,0.716,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7657,2574,0.389,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10231,1149,0.513,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11380,1727,0.296,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13107,1842,0.346,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14949,1972,0.385,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16921,432,0.391,"Kershaw, Clayton"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,17353,1656,0.378,"Kershaw, Clayton"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16921,432,0.288,"Kershaw, Clayton"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,17353,1656,0.299,"Kershaw, Clayton"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2017,3203,3495,0.496,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2018,6698,2730,0.543,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2019,9428,2389,0.577,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2021,11817,821,0.589,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2022,12638,24,0.264,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2023,12662,1594,0.639,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2024,14256,2730,0.631,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2025,16986,1944,0.816,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2017,3203,3495,0.738,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2018,6698,2730,0.585,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2019,9428,2389,0.81,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2021,11817,821,0.849,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2022,12638,24,0.554,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2023,12662,1594,0.633,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2024,14256,2730,0.746,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2025,16986,1944,0.695,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2018,6698,2730,0.615,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2019,9428,2389,0.622,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2021,11817,821,0.741,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2022,12638,24,0.508,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2023,12662,1594,0.59,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2024,14256,2730,0.741,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2025,16986,1944,0.702,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.088,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.352,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.333,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.41,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.266,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.25,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.255,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.283,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.3,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.337,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.472,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.31,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.667,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.328,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.282,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.291,"Gibson, Kyle"
