pitcher,test_year,weighted_f1,n_train,n_test
"Kershaw, Clayton",2017,0.944,2093,2851
"Kershaw, Clayton",2018,0.947,4944,2713
"Kershaw, Clayton",2019,0.738,7657,2574
"Kershaw, Clayton",2020,0.96,10231,1149
"Kershaw, Clayton",2021,0.97,11380,1727
"Kershaw, Clayton",2022,0.979,13107,1842
"Kershaw, Clayton",2023,0.907,14949,1972
"Kershaw, Clayton",2024,0.952,16921,432
"Kershaw, Clayton",2025,0.985,17353,1656
"Sale, Chris",2017,0.537,3203,3495
"Sale, Chris",2018,0.806,6698,2730
"Sale, Chris",2019,0.889,9428,2389
"Sale, Chris",2021,0.848,11817,821
"Sale, Chris",2022,0.917,12638,24
"Sale, Chris",2023,0.839,12662,1594
"Sale, Chris",2024,0.912,14256,2730
"Sale, Chris",2025,0.937,16986,1944
"Gibson, Kyle",2017,0.699,2087,2398
"Gibson, Kyle",2018,0.955,4485,2990
"Gibson, Kyle",2019,0.963,7475,2561
"Gibson, Kyle",2020,0.709,10036,1045
"Gibson, Kyle",2021,0.692,11081,2848
"Gibson, Kyle",2022,0.834,13929,2698
"Gibson, Kyle",2023,0.744,16627,2987
"Gibson, Kyle",2024,0.881,19614,2648
"Gibson, Kyle",2025,0.918,22262,207
"Verlander, Justin",2017,0.921,3505,3952
"Verlander, Justin",2018,0.966,7457,3611
"Verlander, Justin",2019,0.86,11068,3736
"Verlander, Justin",2022,0.982,14804,2890
"Verlander, Justin",2023,0.999,17694,2797
"Verlander, Justin",2024,0.996,20491,1500
"Verlander, Justin",2025,0.887,21991,2515
"Scherzer, Max",2017,0.889,3331,3051
"Scherzer, Max",2018,0.963,6382,3309
"Scherzer, Max",2019,0.948,9691,3119
"Scherzer, Max",2020,0.854,12810,1114
"Scherzer, Max",2021,0.936,13924,3025
"Scherzer, Max",2022,0.97,16949,2163
"Scherzer, Max",2023,0.942,19112,2516
"Scherzer, Max",2024,0.93,21628,612
"Scherzer, Max",2025,0.965,22240,1561
"Nola, Aaron",2017,0.426,1683,2573
"Nola, Aaron",2018,0.881,4256,3141
"Nola, Aaron",2019,0.913,7397,3228
"Nola, Aaron",2020,0.793,10625,1067
"Nola, Aaron",2021,0.772,11692,2887
"Nola, Aaron",2022,0.745,14579,3383
"Nola, Aaron",2023,0.796,17962,3346
"Nola, Aaron",2024,0.763,21308,3192
"Nola, Aaron",2025,0.814,24500,1504
"Walker, Taijuan",2017,0.923,2163,2691
"Walker, Taijuan",2018,0.903,4854,126
