pitcher,pitch_types,years,best_k,best_metric,n_years,n_pitches,weighted_f1
"Miller, Mason","FF,SL,CH,FC","[2023, 2024, 2025]",9,manhattan,3,2512,0.985
"deGrom, Jacob","FF,SL,CH,SI,CU","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,manhattan,10,17403,0.983
"McKenzie, Triston","FF,SL,CU,CH","[2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,6,6893,0.973
"Sánchez, Cristopher","SI,CH,SL","[2021, 2022, 2023, 2024, 2025]",3,euclidean,5,8003,0.965
"Verlander, Justin","FF,SL,CU,CH,ST,FC","[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",3,euclidean,8,24506,0.958
"Scherzer, Max","FF,SL,CH,CU,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,euclidean,10,23801,0.944
"Gausman, Kevin","FF,FS,SL,CH,SI","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,manhattan,10,26386,0.929
"Detmers, Reid","FF,SL,CU,CH,SI,ST","[2021, 2022, 2023, 2024, 2025]",5,euclidean,5,7414,0.917
"Pepiot, Ryan","FF,CH,SL,FC,CU,SI","[2022, 2023, 2024, 2025]",5,euclidean,4,5808,0.916
"Cease, Dylan","FF,SL,KC,CH,ST,SI","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",5,euclidean,7,17614,0.912
"Houck, Tanner","SI,SL,ST,FS,FF,FC","[2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,6,7182,0.907
"Gilbert, Logan","FF,SL,FS,KC,CU,CH,FC,SI","[2021, 2022, 2023, 2024, 2025]",7,euclidean,5,13106,0.906
"Cole, Gerrit","FF,SL,KC,CH,SI,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",7,euclidean,9,24868,0.887
"Anderson, Tyler","FF,CH,FC,SI,CU,SL","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,10,19608,0.879
"Ober, Bailey","FF,CH,SL,ST,CU,SI","[2021, 2022, 2023, 2024, 2025]",3,euclidean,5,9403,0.873
"Sale, Chris","SL,FF,SI,CH","[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",15,euclidean,9,18930,0.868
"Kershaw, Clayton","FF,SL,CU,FS,CH,SI","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,euclidean,10,19009,0.867
"Webb, Logan","SI,CH,ST,FF,FC","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,euclidean,7,16002,0.834
"Burnes, Corbin","FC,CU,SL,CH,SI,FF,ST","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,manhattan,8,15023,0.77
"Glasnow, Tyler","FF,CU,SL,SI,CH","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,euclidean,10,12565,0.766
"Nola, Aaron","FF,KC,SI,CH,FC,CU","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,10,26004,0.763
"Sears, JP","FF,ST,CH,SL,SI,CU","[2022, 2023, 2024, 2025]",11,manhattan,4,8866,0.75
"Crochet, Garrett","FF,FC,ST,SI,CH,SL","[2020, 2021, 2023, 2024, 2025]",3,manhattan,5,6766,0.747
"Darvish, Yu","FF,SL,ST,SI,FC,CU,FS,KC,CH","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,euclidean,10,19415,0.74
"Miller, Bryce","FF,SI,FS,SL,ST,KC,CH,FC","[2023, 2024, 2025]",15,euclidean,3,6286,0.729
"Skenes, Paul","FF,FS,ST,CH,CU,SI,SL","[2024, 2025]",11,manhattan,2,4944,0.712
"Suarez, Ranger","SI,CH,FF,CU,FC,SL","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,manhattan,8,12077,0.71
"Wheeler, Zack","FF,SI,FC,CU,ST,CH,FS","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,euclidean,9,23109,0.706
"Mikolas, Miles","FF,SL,SI,CU,CH,ST,CS","[2018, 2019, 2021, 2022, 2023, 2024, 2025]",15,manhattan,7,17692,0.706
"Skubal, Tarik","FF,CH,SL,SI,CU,FS","[2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,6,12070,0.701
"Buehler, Walker","FF,FC,KC,SI,SL,ST,CH","[2017, 2018, 2019, 2020, 2021, 2022, 2024, 2025]",3,euclidean,8,14371,0.694
"Gibson, Kyle","SI,FF,CH,SL,CU,FC,ST","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,euclidean,10,22469,0.687
"Singer, Brady","SI,SL,FF,CH,ST,FC","[2020, 2021, 2022, 2023, 2024, 2025]",3,manhattan,6,13675,0.686
"Walker, Taijuan","FF,FS,SI,FC,CU,SL,ST","[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,9,16717,0.662
"Kirby, George","FF,SI,SL,KC,FS,CH,FC","[2022, 2023, 2024, 2025]",3,manhattan,4,10031,0.627
"Almonte, Yency","FF,ST,SL,SI,CH,FC","[2018, 2019, 2020, 2021, 2022, 2023, 2024]",5,euclidean,7,3531,0.621
"Pfaadt, Brandon","FF,ST,SI,CH,CU,FC","[2023, 2024, 2025]",3,euclidean,3,7371,0.609
"Lugo, Seth","FF,CU,SI,SL,CH,FC,SV,ST,CS,FS","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,manhattan,10,15426,0.471
"Manaea, Sean","SI,FF,CH,SL,ST,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,euclidean,10,19398,0.33
